,desc,mana,name,price,rarity,type,url
1035,"Each player loses 1 life for each creature he or she controls.
In Urborg, the instigators of each new rebellion are soaked in the blood of the last.","['2', 'b', 'b']", Stronghold Discipline ,$0.19,Uncommon,Sorcery,./Paginas/PaginasHeuristica/abugames.com644.html
1036,Vigilance (Attacking doesn't cause this creature to tap.),1g,Core Set 2020: Greenwood Sentinel,$0.25,C,Creature - Elf Scout,./Paginas/PaginasHeuristica/www.cardkingdom.com164.html
1037,"Emerge 6GreenGreenGreen (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's converted mana cost.)When you cast Decimator of the Provinces, creatures you control get +2/+2 and gain trample until end of turn.Trample, haste",10,Decimator of the Provinces,$0.01,,Creature - Eldrazi Boar,./Paginas/PaginasHeuristica/www.mtgotraders.com395.html
1038,"Tap: Target creature an opponent controls attacks you this turn if able.
Tap: Target creature an opponent controls attacks you this turn if able.",1 u,Alluring Siren,$0.49,Uncommon,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com13.html
1039,": Lose only 1 life to an unblocked creature.
--This card has no flavor text --",['3'], Forcefield ,"$1,499.99",Rare,Artifact,./Paginas/PaginasHeuristica/abugames.com214.html
1040," Whenever a creature is put into a graveyard from play, if it had a -1/-1 counter on it, put a -1/-1 counter on target creature.", ,Blowfly Infestation - Shadowmoor Magic the Gathering Single,$3.75, Uncommon, Enchantment,./Paginas/PaginasHeuristica/www.wizardscupboard.com641.html
1041,": Add either  or  to your mana pool.
Counts as both swamp and forest and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Bayou (WB) ,$432.79,Rare,Land - Swamp Forest,./Paginas/PaginasHeuristica/abugames.com701.html
1042,"Flying
Flying",2 r r,Avaricious Dragon,$1.49,Mythic Rare,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com980.html
1043,"Each player chooses a creature or planeswalker they control, then sacrifices the rest. Players can't cast creature or planeswalker spells until the end of your next turn.",3WhiteWhite,Single Combat,$0.01,,Sorcery,./Paginas/PaginasHeuristica/www.mtgotraders.com680.html
1044,"Tap to add 1 colorless mana to your mana pool or place Strip Mine in your graveyard and destroy one land of your choice.
Unlike previous conflicts, the war between Urza and Mishra made Dominia itself a casualty of war.",[], Strip Mine (a Even) ,$139.99,Uncommon,Land,./Paginas/PaginasHeuristica/abugames.com351.html
1045,Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn before attackers are declared.,2W,Loyal Retainers,,U,Creature - Human Advisor,./Paginas/PaginasHeuristica/www.capefeargames.com20.html
1046,If you would draw a card you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library,2GG,Abundance,$1.95,R,Enchantment,./Paginas/PaginasHeuristica/www.capefeargames.com737.html
1047,"Flying
Flying",5 w w,Angel of Glory's Rise,$1.99,Rare,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com579.html
1048,"Escalate 1 (Pay this cost for each mode chosen beyond the first.)Choose one or more-â¢ Target player discards all the cards in his or her hand, then draws that many cards.â¢ Collective Defiance deals 4 damage to target creature.â¢ Collective Defiance deals 3 damage to target opponent.",1RedRed,Collective Defiance,$0.01,,Sorcery,./Paginas/PaginasHeuristica/www.mtgotraders.com403.html
1049,": +1/+0
""And topples round the dreary west
A looming bastion fringed with fire.""
—Alfred, Lord Tennyson, ""In Memoriam""",['r'], Firebreathing ,$14.99,Common,Enchantment - Aura,./Paginas/PaginasHeuristica/abugames.com582.html
1050,"Tap to add 1 colorless mana to your mana pool or draw a card from your library; you may use the card-drawing ability only if you have exactly seven cards in your hand.
--This card has no flavor text --",[], Library of Alexandria ,"$3,499.99",Uncommon,Land,./Paginas/PaginasHeuristica/abugames.com428.html
1051,"Hexproof
Lotus Field enters the battlefield tapped.
When Lotus Field enters the battlefield, sacrifice two lands.
: Add three mana of any one color. 
 Pro Tip!

Like every Lotus before it, Lotus Field produces three mana of any color. While sacrificing two lands may seem like a steep cost, this hexproof land will produce all the mana you need and blank your opponents' land destruction effects.",,Core Set 2020: Lotus Field,$5.49,R,Land,./Paginas/PaginasHeuristica/www.cardkingdom.com308.html
1052,"Sacrifice Brindle Boar: You gain 4 life.
Sacrifice Brindle Boar: You gain 4 life.",2 g,Brindle Boar,$0.29,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com200.html
1053,"Enchant creature you controlWhen Cartouche of Knowledge enters the battlefield, draw a card.Enchanted creature gets +1/+1 and has flying.",1Blue,Cartouche of Knowledge,$0.01,,Enchantment - Aura Cartouche,./Paginas/PaginasHeuristica/www.mtgotraders.com950.html
1054,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Lifelink",1 b,Child of Night,$0.25,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com650.html
1055," When Bartered Cow dies or when you discard it, create a Food token. (It’s an artifact with “{2}, {T}, Sacrifice this artifact: You gain 3 life.”)   At the market, no one heeded Hilda’s frantic mooing. The fae curse was turning out even worse than she had feared. ","['3', 'W']",           Bartered Cow              ,$0.06,Common,Creature—Ox,./Paginas/PaginasHeuristica/scryfall.com202.html
1056," Search your library and graveyard for five cards of your choice and remove the rest from the game. Put the chosen cards on top of your library in any order you choose. You lose half your life, rounded up.", ,Doomsday - 6th Edition Magic the Gathering Single,$2.00, Rare, Sorcery,./Paginas/PaginasHeuristica/www.wizardscupboard.com991.html
1057,"Each opponent loses 3 life. You gain life equal to the life lost this way.
Each opponent loses 3 life. You gain life equal to the life lost this way.",3 b,Blood Tithe,$0.25,Common,Sorcery,./Paginas/PaginasHeuristica/www.starcitygames.com345.html
1058," As an additional cost to cast this spell, discard a card. Draw two cards.   “Remember all those great heroes who were careful and never did anything risky? Me neither.” —Syr Carah, the Bold ","['1', 'R']",           Thrill of Possibility              ,$0.09,Common,Instant,./Paginas/PaginasHeuristica/scryfall.com347.html
1059,"
--This card has no flavor text --",[], Mox Jet (Not Tournament Legal) ,$749.99,Rare,Artifact,./Paginas/PaginasHeuristica/abugames.com994.html
1060,"FlyingWhen Linvala, the Preserver enters the battlefield, if an opponent has more life than you, you gain 5 life.When Linvala enters the battlefield, if an opponent controls more creatures than you, put a 3/3 white Angel creature token with flying onto the battlefield.",4WhiteWhite,"Linvala, the Preserver",$0.01,,Legendary Creature - Angel,./Paginas/PaginasHeuristica/www.mtgotraders.com815.html
1061,"Put target creature on top of its owner's library. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)
Put target creature on top of its owner's library. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)",2 u,Anchor to the Aether,$0.49,Uncommon,Sorcery,./Paginas/PaginasHeuristica/www.starcitygames.com715.html
1062,Enchant creatureEnchanted creature gets +1/+1 for each enchantment you control and has first strike.,White,Ethereal Armor,$0.04,,Enchantment - Aura,./Paginas/PaginasHeuristica/www.mtgotraders.com546.html
1063,", , Sacrifice Doomed Necromancer: Return target creature card from your graveyard to play.
Many necromancers share the same last words—the ones that conclude the undeath ritual.","['2', 'b']", Doomed Necromancer - FOIL ,$11.45,Rare,Creature - Human Cleric Mercenary,./Paginas/PaginasHeuristica/abugames.com39.html
1064,Whenever you play an enchantment spell you may draw a card.,1GG,Verduran Enchantress,$1.46,R,Creature - Human Druid,./Paginas/PaginasHeuristica/www.capefeargames.com808.html
1065,"FlyingWhenever Angelic Captain attacks, it gets +1/+1 until end of turn for each other attacking Ally.",3RedWhite,Angelic Captain,$0.01,,Creature - Angel Ally,./Paginas/PaginasHeuristica/www.mtgotraders.com116.html
1066," Infect When Corpse Cur enters the battlefield, you may return target creature card with infect from your graveyard to you hand.", ,Corpse Cur - Scars of Mirrodin Magic the Gathering Single,$0.20, Common, Artifact Creature - Hound,./Paginas/PaginasHeuristica/www.wizardscupboard.com43.html
1067,"Temple of Epiphany enters the battlefield tapped.When Temple of Epiphany enters the battlefield, scry 1.Tap: Add Blue or Red.", ,Temple of Epiphany,$0.76,,Land,./Paginas/PaginasHeuristica/www.mtgotraders.com301.html
1068,"Exile target black or red permanent.
Exile target black or red permanent.",1 w,Celestial Purge,$1.49,Uncommon,Instant,./Paginas/PaginasHeuristica/www.starcitygames.com87.html
1069,"HasteMentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)Prevent all noncombat damage that would be dealt to other creatures you control.RedWhite: Tajic, Legion's Edge gains first strike until end of turn.",1RedWhite,"Tajic, Legion's Edge",$0.02,,Legendary Creature - Human Soldier,./Paginas/PaginasHeuristica/www.mtgotraders.com751.html
1070,"Sacrifice a creature: Put a +1/+1 counter on Bloodflow Connoisseur.
Sacrifice a creature: Put a +1/+1 counter on Bloodflow Connoisseur.",2 b,Bloodflow Connoisseur,$0.15,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com851.html
1071,"2U: Target creature can't be blocked this turn.
2U: Target creature can't be blocked this turn.",3 u,Amphin Pathmage,$0.15,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com502.html
1072,"Whenever Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.",3b,Core Set 2020 Foil: Gravedigger,$0.35,U,Creature - Zombie,./Paginas/PaginasHeuristica/www.cardkingdom.com87.html
1073," Lovestruck Beast can’t attack unless you control a 1/1 creature.   His mind chose solitude, but his heart disagreed. ","['2', 'G']",           Lovestruck Beast              ,$0.45,Rare,Creature—BeastNoble,./Paginas/PaginasHeuristica/scryfall.com500.html
1074,"Equipped creature gets +0/+3 and has vigilance. (Attacking doesn't cause it to tap.) Equip 3 (3: Attach to target creature you control. Equip only as a sorcery.)
Equipped creature gets +0/+3 and has vigilance. (Attacking doesn't cause it to tap.)",0,Accorder's Shield,$0.25,Uncommon,Artifact - Equipment,./Paginas/PaginasHeuristica/www.starcitygames.com447.html
1075,Tap: Put a +1/+1 counter on each artifact creature you control.,2,Steel Overseer,$3.75,R,Artifact Creature - Construct,./Paginas/PaginasHeuristica/www.capefeargames.com609.html
1076,T Pay 1 life sacrifice Prismatic Vista: Search your library for a basic land card and put it onto the battlefield then shuffle your library.,,Prismatic Vista,,R,Land,./Paginas/PaginasHeuristica/www.capefeargames.com259.html
1077, Vigilance ,"['5', 'W', 'W']",           Realm-Cloaked Giant              ,$4.49,MythicRare,Creature—Giant,./Paginas/PaginasHeuristica/scryfall.com916.html
1078,"Protection from everythingIf Progenitus would be put into a graveyard from anywhere, reveal Progenitus and shuffle it into its owner's library instead.",WhiteWhiteBlueBlueBlackBlackRedRedGreenGreen,Progenitus *Foil*,$0.87,,Legendary Creature - Hydra Avatar,./Paginas/PaginasHeuristica/www.mtgotraders.com244.html
1079,": Add either  or  to your mana pool.
Counts as both forest and mountains and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Taiga (WB) ,$246.79,Rare,Land - Mountain Forest,./Paginas/PaginasHeuristica/abugames.com795.html
1080,"Whenever Centaur Rootcaster deals combat damage to a player, you may search your library for a basic land card and put that card into play tapped. If you do, shuffle your library.",3 ManaGreen Mana,Centaur Rootcaster,$0.01,,Creature - Centaur Druid,./Paginas/PaginasHeuristica/www.mtgotraders.com614.html
1081,"When Agent of Treachery enters the battlefield, gain control of target permanent.
When Agent of Treachery enters the battlefield, gain control of target permanent.",5 u u,Agent of Treachery,$2.99,Rare,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com914.html
1082,"When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid is on the battlefield. It's still a land.
When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid remains on the battlefield. It's still a land.",2 g,Awakener Druid,$0.49,Uncommon,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com68.html
1083, Flying Order of Midnight can’t block. ,"['1', 'B']",           Order of Midnight              ,$0.17,Uncommon,Creature—HumanKnight,./Paginas/PaginasHeuristica/scryfall.com296.html
1084,Reach Whenever an opponent casts a spell put a 1/1 green Insect creature token onto the battlefield.,2RRGG,Dragonlair Spider,$0.05/$0.06,R,Creature - Spider,./Paginas/PaginasHeuristica/www.capefeargames.com170.html
1085,": Add either  or  to your mana pool.
Counts as both islands and plains and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Tundra ,$473.75,Rare,Land - Plains Island,./Paginas/PaginasHeuristica/abugames.com845.html
1086,"First strike (This creature deals combat damage before creatures without first strike.)
First strike (This creature deals combat damage before creatures without first strike.)",b b,Black Knight,$0.25,Uncommon,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com294.html
1087,Drowned Catacomb enters the battlefield tapped unless you control an Island or a Swamp. T: Add U or B to your mana pool.,,Drowned Catacomb - Foil,$6.60,R,Land,./Paginas/PaginasHeuristica/www.capefeargames.com520.html
1088,"Return all creatures to their owners' hands.
""Once I supply the breeze, you'll see your warriors for the smoke they truly are.""
—Alexi, zephyr mage","['3', 'u', 'u']", Evacuation - FOIL ,$34.99,Rare,Instant,./Paginas/PaginasHeuristica/abugames.com42.html
1089,T Add 1 to your mana pool. T Add U or B to your mana pool. Underground River deals 1 damage to you.,,Underground River - Foil,,R,Land,./Paginas/PaginasHeuristica/www.capefeargames.com873.html
1090,"Any creature in either player's graveyard comes into play on your side with -1 to its original power. If this enchantment is removed, or at end of game, target creature is returned to its owner's graveyard. Target creature may be killed as normal.
--This card has no flavor text --","['1', 'b']", Animate Dead ,$498.75,Uncommon,Enchantment - Aura,./Paginas/PaginasHeuristica/abugames.com146.html
1091,"Whenever you discard a card, exile that card from your graveyard.2, Tap: Draw a card, then discard a card.4, Tap, Sacrifice Bag of Holding: Return all cards exiled with Bag of Holding to their owner's hand.",1,Bag of Holding *Foil*,$0.02,,Artifact,./Paginas/PaginasHeuristica/www.mtgotraders.com41.html
1092,"DefenderThing in the Ice enters the battlefield with four ice counters on it.Whenever you cast an instant or sorcery spell, remove an ice counter from Thing in the Ice. Then if it has no ice counters on it, transform it.-----Awoken HorrorCreature - Kraken Horror7/8When this creature transforms into Awoken Horror, return all non-Horror creatures to their owners' hands.",1Blue,Thing in the Ice,$0.92,,Creature - Horror,./Paginas/PaginasHeuristica/www.mtgotraders.com497.html
1093," During each player's upkeep, that player discards a card at random.", ,Bottomless Pit - Stronghold Magic the Gathering Single,$0.25, Uncommon, Enchantment,./Paginas/PaginasHeuristica/www.wizardscupboard.com38.html
1094,"As Canker Abomination comes into play, choose an opponent. Canker Abomination comes into play with a -1/-1 counter on it for each creature that player controls.
Once the hideous disease takes hold, it spreads through both bark and mind.","['2', 'bg', 'bg']", Canker Abomination ,$0.19,Uncommon,Creature - Treefolk Horror,./Paginas/PaginasHeuristica/abugames.com516.html
1095,"Flying
Whenever you gain life, put a +1/+1 counter on Bloodthirsty Aerialist.",1bb,Core Set 2020: Bloodthirsty Aerialist,$0.25,U,Creature - Vampire Rogue,./Paginas/PaginasHeuristica/www.cardkingdom.com236.html
1096,Creatures with power 3 or greater don't untap during their controllers' untap steps.,1,Meekstone,$8.95,R,Artifact,./Paginas/PaginasHeuristica/www.capefeargames.com936.html
1097,"Draw X cards. If X is 10 or more, instead shuffle your graveyard into your library, draw X cards, untap up to five lands, and you have no maximum hand size for the rest of the game.Exile Finale of Revelation.",Variable ColorlessBlueBlue,Finale of Revelation,$0.83,,Sorcery,./Paginas/PaginasHeuristica/www.mtgotraders.com478.html
1098,"Tap, Pay 1 life, Sacrifice Polluted Delta: Search your library for an Island or Swamp card and put it onto the battlefield. Then shuffle your library.", ,Polluted Delta,$9.14,,Land,./Paginas/PaginasHeuristica/www.mtgotraders.com182.html
1099," {1}: You gain 1 life every time a creature is destroyed, unless it is then regenerated.", ,Soul Net - Unlimited Magic the Gathering Single,$1.65, Uncommon, Poly Artifact,./Paginas/PaginasHeuristica/www.wizardscupboard.com513.html
1100,": Target creature with power no greater than 2 becomes unblockable until end of turn. Other effects may later be used to increase the creature's power beyond 2.
--This card has no flavor text --","['2', 'r']", Dwarven Warriors ,$0.14,Common,Creature - Dwarf Warrior,./Paginas/PaginasHeuristica/abugames.com453.html
1101,"[+1]: Distribute two +1/+1 counters among up to two target creatures. They gain trample until end of turn.
[-3]: Target creature you control deals damage equal to its power to target creature or planeswalker.
[-5]: you may choose a creature card you own from outside the game, reveal it, and put it into your hand.
|4|",1ggg,"Core Set 2020: Vivien, Arkbow Ranger",$5.49,M,Legendary Planeswalker - Vivien,./Paginas/PaginasHeuristica/www.cardkingdom.com373.html
1102,": Add either  or  to your mana pool.
Counts as both islands and mountains and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Volcanic Island (WB) ,$546.69,Rare,Land - Island Mountain,./Paginas/PaginasHeuristica/abugames.com900.html
1103,"Flying1White: Put a +1/+1 counter on Jenara, Asura of War.",GreenWhiteBlue,"Jenara, Asura of War",$0.07,,Legendary Creature - Angel,./Paginas/PaginasHeuristica/www.mtgotraders.com881.html
1104,Put all creature cards from all graveyards onto the battlefield under your control.,7BB,Rise of the Dark Realms - Foil,,M,Sorcery,./Paginas/PaginasHeuristica/www.capefeargames.com465.html
1105," {1}{W}, {T}: Tap target creature.   “What size advantage? They never even see me coming.” ",['W'],           Giant Killer              ,$0.21,Rare,Creature—HumanPeasant,./Paginas/PaginasHeuristica/scryfall.com783.html
1106," This spell costs {2} less to cast for each creature card in your graveyard. Whenever a creature you control dies, put it on the bottom of its owner’s library. {2}{B}, {T}, Pay 2 life: Return target creature card from your graveyard to the battlefield. Activate this ability only any time you could cast a sorcery. ","['10', 'B', 'B']",           The Cauldron of Eternity              ,$2.05,MythicRare,LegendaryArtifact,./Paginas/PaginasHeuristica/scryfall.com279.html
1107, Creatures of the creature type of your choice get -3/-3 until end of turn. ,"['1', 'B', 'B']",           Witch's Vengeance              ,$0.32,Rare,Sorcery,./Paginas/PaginasHeuristica/scryfall.com557.html
1108,"Flying
Flying",3 w,Assault Griffin,$0.25,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com105.html
1109,"Flying
Flying",3 u u u,"Atemsis, All-Seeing (Promo Pack)",$0.99,Promo,Legendary Creature,./Paginas/PaginasHeuristica/www.starcitygames.com555.html
1110,": Add either  or  to your mana pool.
Counts as both swamp and forest and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Bayou ,$432.79,Rare,Land - Swamp Forest,./Paginas/PaginasHeuristica/abugames.com687.html
1111,"Geralf's Messenger enters the battlefield tapped.When Geralf's Messenger enters the battlefield, target opponent loses 2 life.Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)",BlackBlackBlack,Geralf's Messenger,$0.62,,Creature - Zombie,./Paginas/PaginasHeuristica/www.mtgotraders.com706.html
1112,"Whenever a creature or planeswalker you control dies, you may sacrifice Ajani's Last Stand. If you do, create a 4/4 white Avatar creature token with flying.
Whenever a creature or planeswalker you control dies, you may sacrifice Ajani's Last Stand. If you do, create a 4/4 white Avatar creature token with flying.",2 w w,Ajani's Last Stand (Core Set 2019 Prerelease),$0.99,Promo,Enchantment,./Paginas/PaginasHeuristica/www.starcitygames.com806.html
1113, Destroy target land., ,Sinkhole - Eternal Masters,$4.25, Rare, Sorcery,./Paginas/PaginasHeuristica/www.wizardscupboard.com397.html
1114,"FlyingAt the beginning of your upkeep, you may put a feather counter on target creature. If you do, that creature is 3/1 and has flying as long as it has a feather counter on it.",1WhiteBlue,Aven Mimeomancer,$0.01,,Creature - Bird Wizard,./Paginas/PaginasHeuristica/www.mtgotraders.com356.html
1115,"Morph  (You may cast this card face down as a 2/2 creature for . Turn it face up any time for its morph cost.)
Whenever another nontoken creature you control dies, draw a card.",2b,Commander 2019: Grim Haruspex,$0.35,R,Creature - Human Wizard,./Paginas/PaginasHeuristica/www.cardkingdom.com518.html
1116,Equipped creature gets +2/+2 and has lifelink and trample.Equip 3,1GreenWhite,Behemoth Sledge,$0.01,,Artifact - Equipment,./Paginas/PaginasHeuristica/www.mtgotraders.com643.html
1117,"Blossoming Sands enters the battlefield tapped.
Blossoming Sands enters the battlefield tapped.",,Blossoming Sands,$0.15,Common,Land,./Paginas/PaginasHeuristica/www.starcitygames.com943.html
1118,"Flying
An opponent damaged by Specter must discard a card at random from his or her hand. Ignore this effect if opponent has no cards left in hand.
""...There was no trace/ Of aught on that illumined face...""
—Samuel Coleridge, ""Phantom""","['1', 'b', 'b']", Hypnotic Specter ,"$1,624.99",Uncommon,Creature - Specter,./Paginas/PaginasHeuristica/abugames.com238.html
1119,"You may choose a sorcery card you own from outside the game, reveal that card, and put it into your hand. Exile Burning Wish .",1 ManaRed Mana,Burning Wish *Foil*,$2.02,,Sorcery,./Paginas/PaginasHeuristica/www.mtgotraders.com213.html
1120,"ocT: Add either oR or oB to your mana pool.
Counts as both mountains and swamp and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Badlands (WB) ,$379.45,Rare,Land - Swamp Mountain,./Paginas/PaginasHeuristica/abugames.com668.html
1121,"As long as it's your turn, Blood Burglar has lifelink. (Damage dealt by this creature also causes you to gain that much life.)",1b,Core Set 2020 Foil: Blood Burglar,$0.25,C,Creature - Vampire Rogue,./Paginas/PaginasHeuristica/www.cardkingdom.com148.html
1122,": Instead of drawing a card from the top of your library, draw X cards but choose only one to put in your hand. You must shuffle the leftover cards and put them at the bottom of your library.
--This card has no flavor text --",['10'], Aladdin's Lamp ,$15.99,Rare,Artifact,./Paginas/PaginasHeuristica/abugames.com392.html
1123," Rampart Smasher can’t be blocked by Knights or Walls.   “He has strength and courage—just way, way too much of both.” —Syr Faren, the Hengehammer ","['R/G', 'R/G', 'R/G', 'R/G']",           Rampart Smasher              ,$0.10,Uncommon,Creature—Giant,./Paginas/PaginasHeuristica/scryfall.com412.html
1124,"When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.
When Archaeomancer enters the battlefield, return target instant or sorcery card from your graveyard to your hand.",2 u u,Archaeomancer,$0.25,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com410.html
1125," Search your library for an instant, interrupt, mana source, or sorcery card and reveal that card to all players. Shuffle your library and put the revealed card back on top of it.", ,Mystical Tutor - Mirage Magic the Gathering Single,$9.95, Uncommon, Instant,./Paginas/PaginasHeuristica/www.wizardscupboard.com401.html
1126,"Kicker  and/or 
If you paid the  kicker cost, Cetavolver comes into play with two +1/+1 counters on it and has first strike.
If you paid the  kicker cost, Cetavolver comes into play with a +1/+1 counter on it and has trample.
--This card has no flavor text --","['1', 'u']", Cetavolver ,$0.30,Rare,Creature - Volver,./Paginas/PaginasHeuristica/abugames.com541.html
1127,Flying,3BlueBlue,Air Elemental *Foil*,$0.01,,Creature - Elemental,./Paginas/PaginasHeuristica/www.mtgotraders.com16.html
1128,Nonbasic lands are Mountains.,2R,Blood Moon,$18.95,R,Enchantment,./Paginas/PaginasHeuristica/www.capefeargames.com824.html
1129,"All enchantments on target land are destroyed. Land cannot be destroyed or further enchanted until Consecrate Land has been destroyed.
--This card has no flavor text --",['w'], Consecrate Land ,$160.99,Uncommon,Enchantment - Aura,./Paginas/PaginasHeuristica/abugames.com111.html
1130,[+2]: During target opponent's next turn creatures that player controls attack Gideon Jura if able. // [-2]: Destroy target tapped creature. // [0]: Until end of turn Gideon Jura becomes a 6/6 Human Soldier creature that's still a planeswalker. Prevent all damage that would be dealt to him this turn.,3WW,Gideon Jura,$3.75,M,Planeswalker - Gideon,./Paginas/PaginasHeuristica/www.capefeargames.com577.html
1131,"Target creature gets +X/+X until end of turn, where X is your devotion to green. (Each Green in the mana costs of permanents you control counts toward your devotion to green.)",Green,Aspect of Hydra *Foil*,$0.01,,Instant,./Paginas/PaginasHeuristica/www.mtgotraders.com839.html
1132,"1G, Sacrifice Caustic Caterpillar: Destroy target artifact or enchantment.
1G, Sacrifice Caustic Caterpillar: Destroy target artifact or enchantment.",g,Caustic Caterpillar,$4.99,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com739.html
1133,T: Add to your mana pool one mana of any color in your commander's color identity,,Command Tower,$0.50/$0.63,C,Land,./Paginas/PaginasHeuristica/www.capefeargames.com127.html
1134,"Whenever a player casts a white spell, you may gain 1 life.
Whenever a player casts a white spell, you may gain 1 life.",2,Angel's Feather,$0.25,Uncommon,Artifact,./Paginas/PaginasHeuristica/www.starcitygames.com369.html
1135,": Add either  or  to your mana pool.
Counts as both forest and islands and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Tropical Island (WB) ,$371.19,Rare,Land - Forest Island,./Paginas/PaginasHeuristica/abugames.com812.html
1136,"Choose up to two target permanent cards in your graveyard that were put there from the battlefield this turn. Return them to the battlefield tapped.
Choose up to two target permanent cards in your graveyard that were put there from the battlefield this turn. Return them to the battlefield tapped.",w w,Brought Back,$2.99,Rare,Instant,./Paginas/PaginasHeuristica/www.starcitygames.com693.html
1137,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for 1 or one mana of that creature's color.)When Venerated Loxodon enters the battlefield, put a +1/+1 counter on each creature that convoked it.",4White,Venerated Loxodon,$0.20,,Creature - Elephant Cleric,./Paginas/PaginasHeuristica/www.mtgotraders.com993.html
1138,"Whenever a creature enters the battlefield under an opponent's control, you may have that player lose 1 life.
Whenever a creature enters the battlefield under an opponent's control, you may have that player lose 1 life.",1 b,Blood Seeker,$0.15,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com386.html
1139,At the beginning of your end step if you didn't activate a loyalty ability of a planeswalker this turn you lose 2 life.4 T: For each planeswalker you control you may activate one of its loyalty abilities once this turn as though none of its loyalty abilities have been activated this turn.,4,The Chain Veil - Foil,,M,Legendary Artifact,./Paginas/PaginasHeuristica/www.capefeargames.com432.html
1140,Flying first strike lifelink protection from Demons and from Dragons,3WW,Baneslayer Angel - Foil,$26.21,M,Creature ? Angel,./Paginas/PaginasHeuristica/www.capefeargames.com598.html
1141," Yorvo, Lord of Garenbrig enters the battlefield with four  1/ 1 counters on it. Whenever another green creature enters the battlefield under your control, put a  1/ 1 counter on Yorvo. Then if that creature’s power is greater than Yorvo’s power, put another  1/ 1 counter on Yorvo. ","['G', 'G', 'G']","           Yorvo, Lord of Garenbrig              ",$0.36,Rare,LegendaryCreature—GiantNoble,./Paginas/PaginasHeuristica/scryfall.com384.html
1142,"Flying
Attacking does not cause Serra Angel to tap.
Born with wings of light and a sword of faith, this heavenly incarnation embodies both fury and purity.","['3', 'w', 'w']", Serra Angel ,$5.55,Uncommon,Creature - Angel,./Paginas/PaginasHeuristica/abugames.com957.html
1143,"Exquisite Firecraft deals 4 damage to target creature or player.Spell mastery- If there are two or more instant and/or sorcery cards in your graveyard, Exquisite Firecraft can't be countered by spells or abilities.",1RedRed,Exquisite Firecraft,$0.53,,Sorcery,./Paginas/PaginasHeuristica/www.mtgotraders.com585.html
1144," All artifacts gain ''At the beginning of your upkeep, sacrifice this artifact unless you pay {2}.''", ,Energy Flux - Mercadian Masques Magic the Gathering Single,$0.35, Uncommon, Enchantment,./Paginas/PaginasHeuristica/www.wizardscupboard.com544.html
