,Unnamed: 0,desc,mana,name,price,rarity,type,url
773,773,"Deathtouch, indestructibleRhonas the Indomitable can't attack or block unless you control another creature with power 4 or greater.2Green: Another target creature gets +2/+0 and gains trample until end of turn.",2g,Rhonas the Indomitable,$0.10,,Legendary Creature - God,https://www.mtgotraders.com/store/AKH_Rhonas_the_Indomitable.html
774,774,"Flying
Flying",4w,Angel of the Dawn,$0.49,Common,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/1431824
775,775,At the beginning of each player's draw step if Howling Mine is untapped that player draws a card.,2,Howling Mine,$99.95,Rare,Artifact,https://www.capefeargames.com/catalog/magic_singles-core_sets-unlimited/howling_mine/24633
776,776,"DeathtouchWhen God-Eternal Rhonas enters the battlefield, double the power of each other creature you control until end of turn. Those creatures gain vigilance until end of turn.When God-Eternal Rhonas dies or is put into exile from the battlefield, you may put it into its owner's library third from the top.",3gg,God-Eternal Rhonas,$1.20,,Legendary Creature - Zombie God,https://www.mtgotraders.com/store/WAR_God-Eternal_Rhonas.html
777,777,Destroy target creature or planeswalker.,br,Dreadbore,$2.37,Rare,Sorcery,https://www.capefeargames.com/catalog/magic_singles-return_to_ravnica_block-return_to_ravnica/dreadbore/93107
778,778,T Add 1 to your mana pool. T Add R or G to your mana pool. Karplusan Forest deals 1 damage to you.,,Karplusan Forest,$4.70,Rare,Land,https://www.capefeargames.com/catalog/magic_singles-core_sets-7th_edition/karplusan_forest/12663
779,779,As The Mimeoplasm enters the battlefield you may exile two creature cards from graveyards. If you do it enters the battlefield as a copy of one of those cards with a number of additional +1/+1 counters on it equal to the power of the other card.,2gub,The Mimeoplasm,$4.23,Mythic,Legendary Creature - Ooze,https://www.capefeargames.com/catalog/magic_singles-commander_sets-commander_2011/the_mimeoplasm/67333
780,780,"Enchantment spells you cast cost  less to cast.
Whenever an enchantment you control is put into a graveyard from the battlefield, put a +1/+1 counter on Starfield Mystic.",1w,Core Set 2020: Starfield Mystic,$0.69,Rare,Creature - Human Cleric,https://www.cardkingdom.com/mtg/core-set-2020/starfield-mystic
781,781,": All cards from the Antiquities expansion, including Golgothian Sylex, must be discarded from play.
From their earliest educations, the brothers had known that no human contrivance could stand against the true masters of Dominia.",4,Golgothian Sylex,$16.99,Rare,Artifact,https://abugames.com/magic-the-gathering/singles/product-detail/Golgothian-Sylex/Antiquities/English/ID%23-91790
782,782,{T}: Untap target land. Threshold - {T}: Untap up to three target lands. (Play this ability only if seven or more cards are in your graveyard.),,Krosan Restorer - Torment Magic the Gathering Single,$0.40, Common,Creature - Druid,https://www.wizardscupboard.com/krosan-restorer-p-11569.html
783,783,"Madness {1}{B} (If you discard this card, you may play it for its madness cost instead of putting it into your graveyard.). When Grave Scrabbler comes into play, if its madness cost was paid, you may return target creature card in a graveyard to its owner's hand.",,Grave Scrabbler - Future Sight Magic the Gathering Single,$0.85, Common,Creature - Zombie,https://www.wizardscupboard.com/grave-scrabbler-p-21438.html
784,784,": Add either  or  to your mana pool.
Counts as both forest and mountains and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",,Taiga,$179.09,Rare,Land - Mountain Forest,https://abugames.com/magic-the-gathering/singles/product-detail/Taiga/Revised/English/ID%23-61126
785,785,Enchanted creature gets +2/+2 for each other creature in play that shares a creature type with it.,,Alpha Status - Scourge Magic the Gathering Single,$1.10, Uncommon,Enchant Creature,https://www.wizardscupboard.com/alpha-status-p-14065.html
786,786,"Destroy target tapped creature.
Destroy target tapped creature.",2b,Assassinate,$0.25,Common,Sorcery,http://www.starcitygames.com/catalog/magic_the_gathering/product/176085
787,787,"Whenever you tap a Forest for mana, add an additional Green.+1: Put three +1/+1 counters on up to one target noncreature land you control. Untap it. It becomes a 0/0 Elemental creature with vigilance and haste that's still a land.-8: You get an emblem with ""Lands you control have indestructible."" Search your library for any number of Forest cards, put them onto the battlefield tapped, then shuffle your library.",3gg,"Nissa, Who Shakes the World",$0.47,,Legendary Planeswalker - Nissa,https://www.mtgotraders.com/store/WAR_Nissa_Who_Shakes_the_World.html
788,788,"+1: You gain life equal to the number of creatures you control plus the number of planeswalkers you control.
+1: You gain life equal to the number of creatures you control plus the number of planeswalkers you control.",2ww,"Ajani, Strength of the Pride",$5.99,Mythic Rare,Legendary Planeswalker - Ajani,http://www.starcitygames.com/catalog/magic_the_gathering/product/1549962/1554877
789,789,"Counts as both plains and swamp and is affected by spells that affect either. Tap to add either  or  to your mana pool.
--This card has no flavor text --",,Scrubland,"$6,249.99",Rare,Land - Plains Swamp,https://abugames.com/magic-the-gathering/singles/product-detail/Scrubland/Alpha/English/
790,790,"Counts as both forest and islands and is affected by spells that affect either. Tap to add either  or  to your mana pool.
--This card has no flavor text --",,Tropical Island,"$7,499.99",Rare,Land - Forest Island,https://abugames.com/magic-the-gathering/singles/product-detail/Tropical-Island/Beta/English/ID%23-gb0009176459
791,791,"Tap, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card and put it onto the battlefield. Then shuffle your library.", ,Arid Mesa,$5.23,,Land,https://www.mtgotraders.com/store/ZEN_Arid_Mesa.html
792,792,"Relentless Rats gets +1/+1 for each other creature in play named Relentless Rats.
A deck can have any number of cards named Relentless Rats.
--This card has no flavor text --",1bb,Relentless Rats,$2.19,Uncommon,Creature - Rat,https://abugames.com/magic-the-gathering/singles/product-detail/Relentless-Rats/10th-Edition/English/
793,793,"When Wolfrider's Saddle enters the battlefield, create a 2/2 green Wolf creature token, then attach Wolfrider's Saddle to it.
Equipped creature get +1/+1 and can't be blocked by more than one creature.
Equip  (: Attach to target creature you control. Equip only as a sorcery.)",3g,Core Set 2020 Foil: Wolfrider's Saddle,$0.35,Uncommon,Artifact - Equipment,https://www.cardkingdom.com/mtg/core-set-2020/wolfriders-saddle-foil
794,794,T Pay 1 life: Add W or B.1 T Sacrifice Silent Clearing: Draw a card.,,Silent Clearing - Foil,,Rare,Land,https://www.capefeargames.com/catalog/magic_singles-modern_horizons_sets-modern_horizons/silent_clearing__foil/595868
795,795,"{T}: Add {C}. {T}: Add {R}, {W}, or {B}. Spend this mana only to cast a Knight or Equipment spell.   No one knows when the tournament began. All they know is that it will never end.",,Tournament Grounds,$0.21,Uncommon,Land,https://scryfall.com/card/eld/248/tournament-grounds
796,796,Scry 2 then draw a card. (To scry 2 look at the top two cards of your library then put any number of them on the bottom of your library and the rest on top in any order.),u,Preordain,$5.49,Common,Sorcery,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2011/preordain/42988
797,797,"When Ã†ther Adept enters the battlefield, return target creature to its owner's hand.
When Aether Adept enters the battlefield, return target creature to its owner's hand.",1uu,Aether Adept,$0.15,Common,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/268528
798,798,Sacrifice a Food: Target creature blocks Maraleaf Rider this turn if able.   They both hunger for battle.,1g,Maraleaf Rider,$0.07,Common,Creature—ElfKnight,https://scryfall.com/card/eld/166/maraleaf-rider
799,799,"Vigilance Whenever Brimaz, King of Oreskos attacks, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield attacking.Whenever Brimaz blocks a creature, put a 1/1 white Cat Soldier creature token with vigilance onto the battlefield blocking that creature.",1ww,"Brimaz, King of Oreskos",$0.81,,Legendary Creature - Cat Soldier,https://www.mtgotraders.com/store/BNG_Brimaz_King_of_Oreskos.html
800,800,"Equipped creature gets +2/+2 and has trample. (It can deal excess combat damage to defending player or planeswalker while attacking.)
Equipped creature gets +2/+2 and has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)",3,Brawler's Plate,$0.49,Uncommon,Artifact - Equipment,http://www.starcitygames.com/catalog/magic_the_gathering/product/1142157
801,801,"When Knight of Autumn enters the battlefield, choose one-â¢ Put two +1/+1 counters on Knight of Autumn.â¢ Destroy target artifact or enchantment.â¢ You gain 4 life.",1gw,Knight of Autumn,$2.12,,Creature - Dryad Knight,https://www.mtgotraders.com/store/GRN_Knight_of_Autumn.html
802,802,": Add  to your mana pool.
: Add  or  to your mana pool. Battlefield Forge deals 1 damage to you.
--This card has no flavor text --",,Battlefield Forge - FOIL,$13.29,Rare,Land,https://abugames.com/magic-the-gathering/singles/product-detail/Battlefield-Forge-%252D-FOIL/10th-Edition/English/
803,803,,u,Sleight of Hand,$2.49,Uncommon,Sorcery,https://www.capefeargames.com/catalog/magic_singles-masters_editions-ultimate_masters/sleight_of_hand/592814
804,804,Sacrifice a creature Add 2 to your mana pool.,3,Ashnod's Altar,,Uncommon,Artifact,https://www.capefeargames.com/catalog/magic_singles-core_sets-5th_edition/ashnods_altar/12979
805,805,"Flash (You may cast this spell any time you could cast an instant.)Whenever you cast a spell during an opponent's turn, put a +1/+1 counter on Brineborn Cutthroat.",1u,Brineborn Cutthroat *Foil*,$0.06,,Creature - Merfolk Pirate,https://www.mtgotraders.com/store/M20_Brineborn_Cutthroat_f.html
806,806,"Defender (This creature can't attack.)
Whenever Wall of Essence is dealt combat damage, you gain that much life.",1w,2015 Core Set Foil: Wall of Essence,$0.79,Uncommon,Creature - Wall,https://www.cardkingdom.com/mtg/2015-core-set/wall-of-essence-foil
807,807,"FlyingWhenever Skysovereign, Consul Flagship enters the battlefield or attacks, it deals 3 damage to target creature or planeswalker an opponent controls.Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)",5,"Skysovereign, Consul Flagship",$0.02,,Legendary Artifact - Vehicle,https://www.mtgotraders.com/store/KLD_Skysovereign_Consul_Flagship.html
808,808,": Add . If you control four or more creatures, add  instead.",1g,Core Set 2020 Foil: Leafkin Druid,$0.99,Common,Creature - Elemental Druid,https://www.cardkingdom.com/mtg/core-set-2020/leafkin-druid-foil
809,809,"Choose a color. As long as opponent has cards of this color in play, all white creatures gain +2/+1. Jihad must be discarded immediately if at any time opponent has no cards of this color in play.
--This card has no flavor text --",www,Jihad,$174.99,Rare,Enchantment,https://abugames.com/magic-the-gathering/singles/product-detail/Jihad/Arabian-Nights/English/ID%23-39158
810,810,"All of target opponent's creatures that can attack must do so. At end of turn, destroy any non-wall creatures that did not attack. Play only during opponent's turn, before opponent's attack. Siren's Call does not affect creatures brought under opponent's control this turn.",,Siren's Call - 4th Edition Magic the Gathering Single,$0.20, Uncommon,Instant,https://www.wizardscupboard.com/sirens-call-p-284.html
811,811,Goblin Cohort can't attack unless you've played a creature spell this turn.,r,Goblin Cohort,$0.04,,Creature - Goblin Warrior,https://www.mtgotraders.com/store/BOK_Goblin_Cohort.html
812,812,"Whenever a creature an opponent controls dies, Altac Bloodseeker gets +2/+0 and gains first strike and haste until end of turn. (It deals combat damage before creatures without first strike, and it can attack and Tap as soon as it comes under your control.)
Whenever a creature an opponent controls dies, Altac Bloodseeker gets +2/+0 and gains first strike and haste until end of turn. (It deals combat damage before creatures without first strike, and it can attack and Tap as soon as it comes under your control.)",1r,Altac Bloodseeker,$0.49,Uncommon,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/698881
813,813,"Exile the top five cards of your library. You may play cards exiled this way until the end of your next turn. You may play an additional land this turn.   The guards kindled the hearth and locked the door to Ellwen’s chamber. By morning, the fire was out and Ellwen was gone.",3rg,Escape to the Wilds,$0.22,Rare,Sorcery,https://scryfall.com/card/eld/189/escape-to-the-wilds
814,814,+1: Untap two target lands.  -1: Put a 3/3 green Beast creature token onto the battlefield.  -4: Creatures you control get +3/+3 and gain trample until end of turn.,2gg,Garruk Wildspeaker - Foil,$15.15,Mythic,Planeswalker - Garruk,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2011/garruk_wildspeaker__foil/79365
815,815,Enchant creatureEnchanted creature gets -2/-2.,b,Dead Weight,$0.05,,Enchantment - Aura,https://www.mtgotraders.com/store/ISD_Dead_Weight.html
816,816,"Protection from black (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything black.)
Protection from black (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything black.)",1w,Apostle of Purifying Light,$0.49,Uncommon,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/1555472
817,817,Vigilance,5ww,Realm-Cloaked Giant,$4.49,MythicRare,Creature—Giant,https://scryfall.com/card/eld/26/realm-cloaked-giant-cast-off
818,818,"{1}, {T}, Discard a card: Put a study counter on Grimoire of the Dead. {T}, Remove three study counters from Grimoire of the Dead and sacrifice it: Put all creature cards in all graveyards onto the battlefield under your control. They are black Zombies in addition to their other colors and types.",,Grimoire of the Dead - Innistrad Magic the Gathering Single,$2.85, Mythic Rare,Legendary Artifact,https://www.wizardscupboard.com/grimoire-dead-p-29603.html
819,819,": Add either  or  to your mana pool.
Counts as both plains and forest and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",,Savannah,$259.19,Rare,Land - Forest Plains,https://abugames.com/magic-the-gathering/singles/product-detail/Savannah/Revised/English/ID%23-79930
820,820,": and tap to take control of an artifact from opponent. Artifact is returned when Aladdin is removed from play or when game ends.
--This card has no flavor text --",2rr,Aladdin,$34.99,Rare,Creature - Human Rogue,https://abugames.com/magic-the-gathering/singles/product-detail/Aladdin/Arabian-Nights/English/ID%23-67503
821,821,T Add 1 to your mana pool. T Add U or B to your mana pool. Underground River deals 1 damage to you.,,Underground River - Foil,$25.46,Rare,Land,https://www.capefeargames.com/catalog/magic_singles-core_sets-9th_edition/underground_river__foil/74942
822,822,Target player puts the top ten cards of his or her library into his or her graveyard.,ub,Glimpse the Unthinkable - Foil,$18.95,Rare,Sorcery,https://www.capefeargames.com/catalog/magic_singles-ravnica_block-ravnica/glimpse_the_unthinkable__foil/75087
823,823,"3U: Draw a card.
3U: Draw a card.",1u,Azure Mage,$0.75,Uncommon,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/279581
824,824,Each creature gets +1/+1 for each other creature in play that shares a creature type with it. (For example if a Goblin Warrior a Goblin Scout and a Zombie Goblin are in play each gets +2/+2.),5,Coat of Arms - Foil,$13.56,Rare,Artifact,https://www.capefeargames.com/catalog/magic_singles-core_sets-10th_edition/coat_of_arms__foil/76578
825,825,"Other Elemental creatures you control get +1/+1.
, : You may put an Elemental creature card from your hand onto the battlefield. That creature gains haste until end of turn. Sacrifice it at the beginning of the next end step.",2r,Modern Masters 2015 Foil: Incandescent Soulstoke,$1.49,Uncommon,Creature - Elemental Shaman,https://www.cardkingdom.com/mtg/modern-masters-2015/incandescent-soulstoke-foil
826,826,No Text,2b,Core Set 2020 Foil: Barony Vampire,$0.25,Common,Creature - Vampire,https://www.cardkingdom.com/mtg/core-set-2020/barony-vampire-foil
827,827,"{T}, Sacrifice a creature: Blasting Station deals 1 damage to target creature or player. Whenever a creature comes into play, you may untap Blasting Station.",,Blasting Station - Fifth Dawn Magic the Gathering Single,$3.70, Uncommon,Artifact,https://www.wizardscupboard.com/blasting-station-p-16041.html
828,828,"ocT: Add either oR or oB to your mana pool.
Counts as both mountains and swamp and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",,Badlands (WB),$389.45,Rare,Land - Swamp Mountain,https://abugames.com/magic-the-gathering/singles/product-detail/Badlands-%2528WB%2529/Revised/German/ID%23-64044
829,829,"Whenever an Angel enters the battlefield under your control, you gain 4 life.
Whenever an Angel you control dies, create a 1/1 white Spirit creature token with flying.",ww,Core Set 2020: Bishop of Wings,$0.99,Rare,Creature - Human Cleric,https://www.cardkingdom.com/mtg/core-set-2020/bishop-of-wings
830,830,"Counter target spell.
Counter target spell.",1uu,Cancel,$0.49,Common,Instant,http://www.starcitygames.com/catalog/magic_the_gathering/product/57199
831,831,"At the beginning of each player's draw step, that player draws a card. Whenever a player draws a card, Spiteful Visions deals 1 damage to that player.",,Spiteful Visions - Shadowmoor Magic the Gathering Single,$0.75, Rare,Enchantment,https://www.wizardscupboard.com/spiteful-visions-p-23641.html
832,832,"Flying;  +0/+1 until end of turn.
""While most overworlders fortunately don't realize this, Gargoyles can be most delicious, providing you have the appropriate tools to carve them.""
—The Underworld Cookbook, by Asmoranomardicadaistinaculdacar",2r,Granite Gargoyle,"$1,874.99",Rare,Creature - Gargoyle,https://abugames.com/magic-the-gathering/singles/product-detail/Granite-Gargoyle/Alpha/English/ID%23-gb0008079428
833,833,, ,Cephalid Coliseum *Foil*,$2.12,,Land,https://www.mtgotraders.com/store/V12_Cephalid_Coliseum_f.html
834,834,As long as Winter Orb is untapped players can't untap more than one land during their untap steps.,2,Winter Orb,$9.45,Rare,Artifact,https://www.capefeargames.com/catalog/magic_singles-core_sets-4th_edition/winter_orb/14619
835,835,"Whenever you cast a multicolored spell, create a 1/1 white Human creature token.",1w,Hero of Precinct One,$0.10,,Creature - Human Warrior,https://www.mtgotraders.com/store/RNA_Hero_of_Precinct_One.html
836,836,"When Blade Splicer enters the battlefield, put a 3/3 colorless Golem artifact creature token onto the battlefield.Golem creatures you control have first strike.",2w,Blade Splicer,$0.36,,Creature - Human Artificer,https://www.mtgotraders.com/store/NPH_Blade_Splicer.html
837,837,"Flying
Flying",2rr,Avaricious Dragon,$2.99,Mythic Rare,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/1142145/1143096
838,838,"Put a  1/ 1 counter on target creature you control, then it fights target creature you don’t control. (Each deals damage equal to its power to the other.) Adamant — If at least three green mana was spent to cast this spell, the creature you control gains indestructible until end of turn.",3g,Outmuscle,$0.06,Common,Sorcery,https://scryfall.com/card/eld/170/outmuscle
839,839,": Add either  or  to your mana pool.
Counts as both forest and islands and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",,Tropical Island,$452.59,Rare,Land - Forest Island,https://abugames.com/magic-the-gathering/singles/product-detail/Tropical-Island/Revised/English/ID%23-s71821
840,840,"Enchant creature
Enchant creature",2g,Arachnus Web,$0.15,Common,Enchantment - Aura,http://www.starcitygames.com/catalog/magic_the_gathering/product/268571
841,841,"When Boneclad Necromancer enters the battlefield, you may exile target creature card from a graveyard. If you do, create a 2/2 black Zombie creature token.
When Boneclad Necromancer enters the battlefield, you may exile target creature card from a graveyard. If you do, create a 2/2 black Zombie creature token.",3bb,Boneclad Necromancer,$0.25,Common,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/1555529
842,842,"When Legion's Landing enters the battlefield, create a 1/1 white Vampire creature token with lifelink.When you attack with three or more creatures, transform Legion's Landing.-----Adanto, the First FortLegendary Land(Transforms from Legion's Landing.)Tap: Add White to your mana pool.2White, Tap: Create a 1/1 white Vampire creature token with lifelink.",w,Legion's Landing,$0.02,,Legendary Enchantment,https://www.mtgotraders.com/store/XLN_Legions_Landing.html
843,843,"Whenever you cast a Knight spell, create a 1/1 white Human creature token.   Every Ardenvale aspirant must step through the flame. Their honor determines whether they burn or shine.",1w,Worthy Knight,$0.43,Rare,Creature—HumanKnight,https://scryfall.com/card/eld/36/worthy-knight
844,844,"Lifelink Whenever another nontoken creature you control dies exile Liliana Herectical Healer then return her to the battlefield transformed under her owner's control. If you do create a 2/2 black Zombie creature token.  Liliana Defiant Necromancer [+2] Each player discards a card. [-X] Return target nonlegendary creature card with converted mana cost X from your graveyard to the battlefield. [-8] You get an emblem with ""Whenever a creature dies return it to the battlefield under your control at the beginning of the next end step.""",,"Liliana, Heretical Healer // Liliana, Defiant Necromancer - Foil",$15.95,Mythic,Legendary Creature - Human Cleric,https://www.capefeargames.com/catalog/magic_singles-from_the_vault-from_the_vault_transform/liliana_heretical_healer__liliana_defiant_necromancer__foil/492123
845,845,"Metalcraft- As long as you control three or more artifacts, Auriok Sunchaser gets +2/+2 and has flying.",1w,Auriok Sunchaser,$0.01,,Creature - Human Soldier,https://www.mtgotraders.com/store/SOM_Auriok_Sunchaser.html
846,846,"Flying
Flying",2w,Angel of Vitality,$1.99,Uncommon,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/1555460
847,847,If Leyline of the Void is in your opening hand you may begin the game with it on the battlefield. If a card would be put into an opponent's graveyard from anywhere exile it instead.,2bb,Leyline of the Void - Foil,,Rare,Enchantment,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2011/leyline_of_the_void__foil/79412
848,848,"Whenever an Aura becomes attached to Brood Keeper, put a 2/2 red Dragon creature token with flying onto the battlefield. It has ""R: This creature gets +1/+0 until end of turn.""
Whenever an Aura becomes attached to Brood Keeper, create a 2/2 red Dragon creature token with flying. It has ""R: This creature gets +1/+0 until end of turn.""",3r,Brood Keeper,$0.49,Uncommon,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/698897
849,849,"Flying
Whenever Drakuseth, Maw of Flames attacks, it deals 4 damage to any target and 3 damage to each of up to two other targets.",4rrr,"Core Set 2020: Drakuseth, Maw of Flames",$1.49,Rare,Legendary Creature - Dragon,https://www.cardkingdom.com/mtg/core-set-2020/drakuseth-maw-of-flames
850,850,,2ww,"Ajani, Adversary of Tyrants",$0.06,,Legendary Planeswalker - Ajani,https://www.mtgotraders.com/store/M19_Ajani_Adversary_of_Tyrants.html
851,851,Lightning Helix deals 3 damage to target creature or player and you gain 3 life.,rw,Lightning Helix - Foil,$33.96,Uncommon,Instant,https://www.capefeargames.com/catalog/magic_singles-ravnica_block-ravnica/lightning_helix__foil/75130
852,852,Whenever a creature you control is put into a graveyard from play each other player sacrifices a creature.,1bbb,Grave Pact - Foil,,Rare,Enchantment,https://www.capefeargames.com/catalog/magic_singles-core_sets-10th_edition/grave_pact__foil/76648
853,853,1 T: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order.,2,Scroll Rack,,Rare,Artifact,https://www.capefeargames.com/catalog/magic_singles-commander_sets-commanders_arsenal_foil/scroll_rack/95166
854,854,": and tap to take control of an artifact from opponent. Artifact is returned when Aladdin is removed from play or when game ends.
--This card has no flavor text --",2rr,Aladdin,$97.75,Rare,Creature - Human Rogue,https://abugames.com/magic-the-gathering/singles/product-detail/Aladdin/Arabian-Nights/English/ID%23-63868
855,855,"{T}: Target player removes a card in his or her graveyard from the game. {1}, Remove Relic of Progenitus from the game: Remove all graveyards from the game. Draw a card.",,Relic of Progenitus - Shards of Alara Magic the Gathering Single,$4.50, Common,Artifact,https://www.wizardscupboard.com/relic-progenitus-p-24516.html
856,856,--This card has no flavor text --,,Scrubland (Not Tournament Legal),$241.49,Rare,Land - Plains Swamp,https://abugames.com/magic-the-gathering/singles/product-detail/Scrubland-%2528Not-Tournament-Legal%2529/Collectors'-Edition-%252D-International/English/ID%23-87199
857,857,"At the beginning of your end step, you may exile target creature you control, then return that card to the battlefield under your control.",,Conjurer's Closet - Commander 2013 Magic the Gathering Single,$3.55, Rare,Artifact,https://www.wizardscupboard.com/conjurers-closet-p-39376.html
858,858,"Flying, lifelinkPay 7 life: Draw seven cards.",4bbbb,Griselbrand,$3.13,,Legendary Creature - Demon,https://www.mtgotraders.com/store/AVR_Griselbrand.html
859,859,"White spells cost 3 more mana to cast. Circles of Protection cost 3 more mana to use.
--This card has no flavor text --",2b,Gloom,$114.99,Uncommon,Enchantment,https://abugames.com/magic-the-gathering/singles/product-detail/Gloom/Alpha/English/ID%23-61545
860,860,"Reach
Reach",2ggg,Cavalier of Thorns,$7.99,Mythic Rare,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/1554762
861,861,"W, Tap: Tap target creature.
W, Tap: Tap target creature.",1w,Blinding Mage,$0.25,Common,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/57187
862,862,"Flying
Spells your opponents cast that target Boreal Elemental cost  more to cast.",4u,Core Set 2020 Foil: Boreal Elemental,$0.25,Common,Creature - Elemental,https://www.cardkingdom.com/mtg/core-set-2020/boreal-elemental-foil
863,863,"TrampleAs long as Brawn is in your graveyard and you control a forest, creatures you control have trample.",3g,Brawn,$0.01,,Creature - Incarnation,https://www.mtgotraders.com/store/JUD_Brawn.html
864,864,"ocT: Add either oR or oB to your mana pool.
Counts as both mountains and swamp and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",,Badlands (WB),$379.45,Rare,Land - Swamp Mountain,https://abugames.com/magic-the-gathering/singles/product-detail/Badlands-%2528WB%2529/Revised/French/ID%23-74896
865,865,": Instead of drawing a card from the top of your library, draw X cards but choose only one to put in your hand. You must shuffle the leftover cards and put them at the bottom of your library.
--This card has no flavor text --",10,Aladdin's Lamp,$15.99,Rare,Artifact,https://abugames.com/magic-the-gathering/singles/product-detail/Aladdin's-Lamp/Arabian-Nights/English/ID%23-61779
866,866,If Leyline of the Void is in your opening hand you may begin the game with it on the battlefield.If a card would be put into an opponent's graveyard from anywhere exile it instead.,2bb,Leyline of the Void - Foil,$19.95,Rare,Enchantment,https://www.capefeargames.com/catalog/magic_singles-core_set_2020/leyline_of_the_void__foil/602030
867,867,"Menace (This creature can’t be blocked except by two or more creatures.) {B/R}{B/R}{B/R}, Sacrifice another creature or an artifact: Elite Headhunter deals 2 damage to target creature or planeswalker.   Nothing remains of his foes but the gripping story of their downfall.",b/rb/rb/rb/r,Elite Headhunter,$0.08,Uncommon,Creature—HumanKnight,https://scryfall.com/card/eld/209/elite-headhunter
868,868,"Enchant creature
When Angelic Gift enters the battlefield, draw a card.
Enchanted created has flying.",1w,Core Set 2020 Foil: Angelic Gift,$0.25,Common,Enchantment - Aura,https://www.cardkingdom.com/mtg/core-set-2020/angelic-gift-foil
869,869,: Add two mana in any combination of colors to your mana pool. Spend this mana only to cast Elemental spells or activate abilities of Elementals.,1r,Modern Masters 2015: Smokebraider,$0.25,Common,Creature - Elemental Shaman,https://www.cardkingdom.com/mtg/modern-masters-2015/smokebraider
870,870,"Trample
Darksteel Colossus is indestructible.
If Darksteel Colossus would be put into a graveyard from anywhere reveal Darksteel Colossus and shuffle it into its owner's library instead.",11,Darksteel Colossus - Foil,,Mythic,Artifact Creature ? Golem,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2010/darksteel_colossus__foil/78358
871,871,Whenever you cast an instant or sorcery spell put a 1/1 red Elemental creature token onto the battlefield.,1r,Young Pyromancer - Foil,$5.49,Uncommon,Creature - Human Shaman,https://www.capefeargames.com/catalog/magic_singles-masters_editions-eternal_masters_2016/young_pyromancer__foil/383883
872,872,"Whenever you gain life, you may put a +1/+1 counter on Ajani's Pridemate. (For example, if an effect causes you to gain 3 life, you may put one +1/+1 counter on this creature.)
Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate.",1w,Ajani's Pridemate,$0.39,Uncommon,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/175887/178507
873,873,"Choose target creature you control and target creature you don’t control. The creature you control gets  2/ 1 until end of turn if it’s a Knight. Then those creatures fight each other. (Each deals damage equal to its power to the other.)   “Life is a tournament that rewards the bold.” —Syr Layne, knight of Embereth",1r,Joust,$0.08,Uncommon,Sorcery,https://scryfall.com/card/eld/129/joust
874,874,"Your opponents can't search libraries.If an opponent would begin an extra turn, that player skips that turn instead.",3r,Stranglehold,$0.96,,Enchantment,https://www.mtgotraders.com/store/CMD_Stranglehold.html
875,875,"As Arcane Adaptation enters the battlefield, choose a creature type.
As Arcane Adaptation enters the battlefield, choose a creature type.",2u,Arcane Adaptation (Promo Pack),$3.99,Promo,Enchantment,http://www.starcitygames.com/catalog/magic_the_gathering/product/1578136
876,876,Other Merfolk get +1/+1 and have islandwalk.,uu,Lord of Atlantis - Foil,,Rare,Creature - Merfolk Lord,https://www.capefeargames.com/catalog/magic_singles-core_sets-7th_edition/lord_of_atlantis__foil/70608
